"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.OPC","log2fold_change","Auc"
"897","LHFPL3","hurdle",8.10862262464858e-16,5.05771,8.05281,2.9951,0.952
"2011","XYLT1","hurdle",1.67378444061476e-14,3.64912,7.222822,3.573702,0.947
"1971","VCAN","hurdle",8.61038109145243e-13,6.279898,10.132271,3.852373,0.929
"134","B3GNT7","hurdle",4.96026316857393e-14,4.308547,6.500554,2.192007,0.917
"1335","PDGFRA","hurdle",2.55844846300641e-14,4.544714,8.933166,4.388452,0.914
"1034","LRRK2","hurdle",1.60651777933212e-10,5.185852,8.684515,3.498663,0.901
"781","IL1RAP","hurdle",2.01250687895224e-10,4.814996,7.724438,2.909442,0.895
"1467","PTPRZ1","hurdle",9.07751197566452e-07,8.761846,11.211983,2.450137,0.881
"1599","SEMA5A","hurdle",5.17068710662546e-08,6.308063,9.385,3.076937,0.88
"1481","RAB31","hurdle",2.53572439572325e-08,6.220198,8.942156,2.721958,0.874
"1066","MARCKS","hurdle",3.18939064346341e-05,9.337461,11.206601,1.86914,0.872
"1084","MEGF11","hurdle",1.79052867171842e-10,3.772075,8.116575,4.3445,0.869
"282","CCDC50","hurdle",2.29406933320577e-08,5.538485,8.31686,2.778375,0.869
"1891","TNR","hurdle",2.74897743895514e-09,3.338956,6.069435,2.730479,0.866
"1040","LUZP2","hurdle",2.73019650021957e-08,6.285035,9.257885,2.97285,0.865
"1314","PCDH15","hurdle",1.07508969050525e-09,4.823417,8.738805,3.915388,0.861
"398","CRISPLD2","hurdle",3.79811462874415e-10,5.970893,7.068957,1.098064,0.86
"614","FLJ43390","hurdle",3.05258109256478e-08,5.366054,9.211726,3.845672,0.855
"149","BLM","hurdle",1.19130743533981e-10,2.418781,7.369137,4.950356,0.854
"873","KLRC2","hurdle",5.29878860863543e-12,0.716395,3.375426,2.659031,0.851
"711","HAS2","hurdle",1.1128871181916e-13,-1.378404,6.914751,8.293155,0.85
"1730","SOX6","hurdle",1.43383918018433e-07,4.901604,7.739518,2.837914,0.843
"1575","SAPCD2","hurdle",6.81280269333592e-11,-0.8937797,3.2630344,4.1568141,0.837
"1269","OLIG1","hurdle",2.57001017741343e-07,4.334758,5.667388,1.33263,0.833
"1340","PDZD2","hurdle",1.84945527251101e-07,5.088527,8.667861,3.579334,0.83
"85","APOD","hurdle",3.93310248131998e-07,7.65142,8.846674,1.195254,0.83
"1160","MMP16","hurdle",3.01679450835839e-06,6.147287,8.895626,2.748339,0.828
"1346","PER2","hurdle",3.34527507901398e-05,7.507964,9.127536,1.619572,0.824
"378","COL9A1","hurdle",1.41343007321814e-07,2.606149,6.263452,3.657303,0.818
"1790","SULF2","hurdle",8.51549529583708e-07,4.651552,6.479152,1.8276,0.817
"243","CA10","hurdle",4.03246379179996e-08,3.944121,6.69488,2.750759,0.812
"605","FKBP5","hurdle",9.43096769881641e-07,5.49733,8.131228,2.633898,0.811
"45","AKAP13","hurdle",1.42014096379153e-05,6.378076,8.104977,1.726901,0.809
"829","KCNJ16","hurdle",6.9197247522951e-07,4.110387,5.990955,1.880568,0.805
"541","ETV1","hurdle",4.81612183420624e-06,4.651982,7.807641,3.155659,0.803
"1634","SKIL","hurdle",9.95368701051092e-05,7.618281,9.203865,1.585584,0.802
"374","COL11A1","hurdle",1.44056333202601e-05,6.418307,8.6161,2.197793,0.8
"1343","PELI1","hurdle",1.77962769204039e-05,5.744715,7.267723,1.523008,0.797
"767","IFI16","hurdle",5.48113252894848e-06,5.810892,7.503737,1.692845,0.797
"1384","PLEKHH2","hurdle",5.38445081904691e-06,5.3978,7.642172,2.244372,0.795
"249","CALCRL","hurdle",5.58923929570184e-08,2.991668,5.611107,2.619439,0.792
"224","C5orf64","hurdle",5.06653087646045e-08,3.537217,6.010979,2.473762,0.791
"696","GPR34","hurdle",8.34495763720882e-08,5.333593,6.912756,1.579163,0.79
"1197","MYT1","hurdle",3.78244257881287e-07,3.045671,5.167251,2.12158,0.787
"1375","PLAT","hurdle",4.05347764573415e-07,3.064524,5.245394,2.18087,0.786
"160","BTG3","hurdle",2.97418788544698e-05,3.492789,5.597928,2.105139,0.786
"394","CREB5","hurdle",0.00010973841689631,6.741957,8.758741,2.016784,0.783
"268","CBFB","hurdle",2.21124978571719e-05,5.696142,7.871666,2.175524,0.783
"853","KIAA1683","hurdle",5.86770307642845e-07,2.262021,5.133399,2.871378,0.782
"509","EGR1","hurdle",0.000677619442780573,9.872215,11.319321,1.447106,0.782
"1613","SEZ6L","hurdle",3.1921280235767e-06,6.375541,7.661303,1.285762,0.779
"1362","PID1","hurdle",1.38128537322722e-06,4.398146,6.276952,1.878806,0.779
"1958","USP24","hurdle",0.000241146278577493,7.106279,8.894952,1.788673,0.774
"818","JUND","hurdle",0.00247736437766582,5.409289,6.166358,0.757069,0.774
"215","C3orf70","hurdle",0.000161490269045396,7.416136,9.510303,2.094167,0.773
"1801","TAB2","hurdle",3.74122098937102e-05,5.696038,6.379667,0.683629000000001,0.772
"1498","RASSF2","hurdle",2.36548724322391e-05,6.498125,7.389834,0.891709,0.772
"730","HLA-DRA","hurdle",8.73569075780965e-08,3.062585,5.213347,2.150762,0.772
"191","C1orf129","hurdle",1.09251216554819e-12,-2.824203,5.47357,8.297773,0.772
"73","ANXA5","hurdle",0.00010237196263566,6.948376,8.638195,1.689819,0.77
"2117","ZSWIM6","hurdle",0.000355958093322478,5.823351,7.559611,1.73626,0.768
"1392","PMP2","hurdle",0.000172072731550245,7.197749,9.173927,1.976178,0.768
"573","FAM5C","hurdle",3.42524672170116e-07,4.83539,5.77815,0.94276,0.767
"2032","ZFP36L2","hurdle",0.000214080824843825,6.853815,8.272967,1.419152,0.764
"1811","TANC1","hurdle",9.01493355118042e-05,4.690785,6.275918,1.585133,0.764
"435","DAB2","hurdle",6.89441172455351e-06,4.664819,5.489714,0.824895000000001,0.764
"403","CRY1","hurdle",0.00027576389478879,4.845011,5.832609,0.987597999999999,0.763
"141","BCHE","hurdle",1.32989672995394e-05,4.35655,7.24993,2.89338,0.763
"206","C2orf77","hurdle",1.06905110066115e-05,3.020588,6.197271,3.176683,0.762
"900","LIMA1","hurdle",0.000322367091676699,5.611586,7.352068,1.740482,0.761
"817","JUN","hurdle",0.000578743985545146,5.296402,6.90876,1.612358,0.761
"1298","PAN3","hurdle",0.000521804585343257,7.742545,9.224511,1.481966,0.759
