"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.astrocytes","log2fold_change","Auc"
"1901","GPR98","hurdle",5.70922437976695e-64,4.422287,11.203646,6.781359,0.996
"135","AGXT2L1","hurdle",5.29724292113119e-60,3.15787,10.69938,7.54151,0.994
"4396","SLC1A2","hurdle",2.63915484682856e-50,7.960633,13.893326,5.932693,0.991
"1813","GJA1","hurdle",2.73473739213213e-55,4.245303,10.814559,6.569256,0.991
"350","ATP1A2","hurdle",5.56952340981974e-46,6.833077,11.391289,4.558212,0.987
"4397","SLC1A3","hurdle",1.10074179733135e-44,7.486066,12.245482,4.759416,0.985
"1639","FGFR3","hurdle",1.11372487407263e-51,1.872056,7.854185,5.982129,0.985
"257","AQP4","hurdle",1.32213191618425e-55,5.276467,12.115511,6.839044,0.982
"4500","SLCO1C1","hurdle",1.88220626070732e-48,3.941957,9.962038,6.020081,0.975
"4483","SLC4A4","hurdle",1.31854384476569e-44,4.481696,9.393121,4.911425,0.969
"1477","F3","hurdle",3.87733086775638e-45,5.838249,10.579152,4.740903,0.969
"433","BMPR1B","hurdle",1.24174081371264e-47,3.929273,10.60122,6.671947,0.966
"1893","GPR37L1","hurdle",2.10377510660549e-50,3.417845,9.029385,5.61154,0.965
"132","AGT","hurdle",4.71490170253847e-43,4.008185,9.515134,5.506949,0.964
"2829","LRRC16A","hurdle",8.89137504831647e-37,6.065152,10.145854,4.080702,0.963
"4410","SLC25A18","hurdle",3.18260737810695e-44,2.366895,8.900244,6.533349,0.959
"4738","STON2","hurdle",4.68439597525329e-43,3.5964,10.07516,6.47876,0.954
"73","ACSBG1","hurdle",2.75031291910037e-45,-0.1987578,7.8352558,8.0340136,0.95
"351","ATP1B2","hurdle",2.94155731579598e-30,7.420396,11.016002,3.595606,0.949
"4342","SFXN5","hurdle",1.30077589633615e-41,1.71342,7.592119,5.878699,0.946
"4016","RANBP3L","hurdle",6.3363254340166e-40,4.619139,9.159066,4.539927,0.946
"1476","EZR","hurdle",9.92485684606579e-38,5.289262,9.994107,4.704845,0.946
"4218","RYR3","hurdle",9.97150766978096e-35,6.033798,9.961968,3.92817,0.945
"347","ATP13A4","hurdle",2.93082240432528e-37,4.135848,8.82127,4.685422,0.945
"3814","PPAP2B","hurdle",4.69826690283609e-37,5.160604,9.532582,4.371978,0.944
"3362","NHSL1","hurdle",7.54329869423258e-36,5.282795,9.541634,4.258839,0.944
"1226","DIO2","hurdle",6.53524458960289e-38,5.207581,9.804995,4.597414,0.943
"1339","EDNRB","hurdle",2.73505491215271e-38,4.597122,9.761583,5.164461,0.942
"4641","SPARCL1","hurdle",7.27588149601857e-26,9.44486,12.85643,3.41157,0.941
"4278","SDC4","hurdle",1.44888766176572e-45,0.5884088,7.9287524,7.3403436,0.941
"3142","MLC1","hurdle",1.92762210439215e-42,-0.2828369,6.448869,6.7317059,0.94
"4491","SLC7A11","hurdle",2.68733354251802e-36,5.108299,9.693183,4.584884,0.939
"1836","GLUD1","hurdle",2.01162596945377e-32,6.157408,10.028,3.870592,0.934
"5053","TPD52L1","hurdle",2.39466331503304e-35,3.384161,8.437262,5.053101,0.933
"3906","PSD2","hurdle",2.70573582983734e-36,3.917761,8.413232,4.495471,0.933
"4471","SLC39A12","hurdle",1.05461149116466e-41,2.298842,8.40282,6.103978,0.93
"3801","PON2","hurdle",1.29277032331852e-28,7.923942,11.288831,3.364889,0.93
"3265","MYO10","hurdle",2.59639825919082e-32,5.106798,8.92554,3.818742,0.93
"2125","ID4","hurdle",1.26660110120474e-35,3.193666,8.231237,5.037571,0.93
"575","C1orf61","hurdle",2.26759704616556e-30,5.733075,9.094171,3.361096,0.93
"55","ACBD7","hurdle",3.27908357232829e-40,0.2828453,6.575527,6.2926817,0.929
"3866","PREX2","hurdle",5.17453800497377e-33,4.423795,8.372177,3.948382,0.928
"3533","PAPLN","hurdle",5.28818679991161e-38,1.523956,7.471833,5.947877,0.928
"4389","SLC15A2","hurdle",4.26507594011752e-34,3.708529,9.000645,5.292116,0.927
"4388","SLC14A1","hurdle",1.68082111421491e-39,0.2341741,7.2145071,6.980333,0.927
"3555","PBXIP1","hurdle",1.40889376600089e-35,1.537391,5.969948,4.432557,0.926
"935","CLDN10","hurdle",4.98932665924062e-35,4.282014,9.550008,5.267994,0.926
"3014","MGST1","hurdle",1.71904579962899e-45,1.628088,8.352236,6.724148,0.925
"993","COL5A3","hurdle",2.13946540633512e-36,0.0148036,4.3814174,4.3666138,0.925
"3309","NCAN","hurdle",2.02325817586894e-32,4.523084,8.791751,4.268667,0.924
"4634","SOX9","hurdle",6.86856114033676e-33,4.603789,9.107858,4.504069,0.923
"3435","NTRK2","hurdle",2.24513246049218e-24,7.813905,10.889972,3.076067,0.923
"1018","CPE","hurdle",1.14866643523305e-24,7.853185,11.181124,3.327939,0.923
"1816","GJB6","hurdle",2.87713220463272e-39,3.195079,9.113162,5.918083,0.922
"5154","TTYH1","hurdle",1.34756232532323e-31,1.797711,6.554886,4.757175,0.917
"3196","MRVI1","hurdle",8.43741056849594e-37,2.22327,8.658108,6.434838,0.917
"2870","MACF1","hurdle",1.25534718888039e-23,8.199349,11.00377,2.804421,0.917
"1895","GPR56","hurdle",1.59556233088216e-29,4.159211,7.903707,3.744496,0.916
"1061","CST3","hurdle",1.14575466054515e-35,3.183732,7.602453,4.418721,0.916
"2978","MERTK","hurdle",2.37664905339894e-32,3.324061,7.839326,4.515265,0.915
"3884","PRODH","hurdle",1.13446144079662e-35,1.528448,6.899737,5.371289,0.913
"1867","GPAM","hurdle",4.1435378693709e-34,3.948676,8.586428,4.637752,0.913
"1802","GFAP","hurdle",1.53001207698628e-39,-0.03735554,7.93921899,7.97657453,0.913
"1303","DTNA","hurdle",2.77653900877505e-25,7.359929,10.17001,2.810081,0.913
"1165","DDAH1","hurdle",2.48783158139289e-27,7.171286,11.014529,3.843243,0.909
"1757","GABRA2","hurdle",1.72237805117603e-27,5.463,9.296998,3.833998,0.908
"1910","GRAMD3","hurdle",5.0079573845935e-29,5.890549,9.469911,3.579362,0.907
"11","AASS","hurdle",3.19562477731492e-26,7.298337,10.382453,3.084116,0.907
"5044","TP53BP2","hurdle",2.02199786739769e-28,4.454512,8.447363,3.992851,0.906
"4387","SLC13A5","hurdle",4.73859424845807e-36,1.669352,7.393868,5.724516,0.905
"956","CLU","hurdle",1.16754113518642e-22,9.023006,12.505312,3.482306,0.905
"248","APOE","hurdle",7.40374693577155e-37,-1.420655,5.942212,7.362867,0.905
"137","AHCYL1","hurdle",1.07612471446727e-25,6.000536,9.780492,3.779956,0.904
"4082","RFX4","hurdle",6.28879970023159e-32,3.116696,8.472147,5.355451,0.903
"3216","MT2A","hurdle",1.82851473383638e-28,4.079181,7.663524,3.584343,0.903
"4321","SERPINE2","hurdle",2.97441132029359e-28,4.741963,8.550697,3.808734,0.901
"1838","GLUL","hurdle",5.99193790794554e-22,9.258976,12.230273,2.971297,0.898
"5628","ZNRF3","hurdle",2.56286708512162e-31,2.207949,7.706936,5.498987,0.897
"3528","PAMR1","hurdle",5.87562459363731e-32,2.67108,7.705599,5.034519,0.896
"1909","GRAMD1C","hurdle",1.42589689479471e-29,3.167983,7.850963,4.68298,0.895
"3281","NADKD1","hurdle",1.37995790093509e-26,4.888072,8.19636,3.308288,0.894
"3209","MT1E","hurdle",2.6969377567503e-28,2.524743,5.95989,3.435147,0.893
"2988","METTL7A","hurdle",8.291909180247e-26,4.975595,8.312532,3.336937,0.893
"5078","TRIL","hurdle",8.72386355835023e-32,2.73661,7.863807,5.127197,0.891
"3217","MT3","hurdle",1.46788300888236e-25,4.203075,7.442837,3.239762,0.891
"1302","DST","hurdle",4.97606461675536e-18,9.511702,11.730047,2.218345,0.89
"2246","ITPR2","hurdle",3.96930168718995e-24,6.476482,9.021795,2.545313,0.889
"1837","GLUD2","hurdle",1.42531450984372e-26,2.185369,6.807604,4.622235,0.889
"907","CHRDL1","hurdle",1.85299164564447e-27,3.227213,7.178496,3.951283,0.889
"1759","GABRG1","hurdle",3.24307819986497e-26,4.951753,8.285715,3.333962,0.886
"172","ALDOC","hurdle",6.85791023071605e-21,8.479604,11.356791,2.877187,0.886
"3433","NTM","hurdle",4.98063112116167e-20,6.35726,9.166414,2.809154,0.884
"2884","MALAT1","hurdle",3.36340199325168e-20,13.19918,14.05841,0.85923,0.881
"2177","IL33","hurdle",1.58603957608504e-31,2.133233,8.159399,6.026166,0.881
"1635","FGF2","hurdle",1.32747032148192e-28,2.152278,6.128019,3.975741,0.881
"3950","PTPRZ1","hurdle",9.65642176679554e-24,8.524446,10.268716,1.74427,0.88
"2433","LHX2","hurdle",8.06355027666691e-29,1.404405,5.45424,4.049835,0.88
"2280","KCNN3","hurdle",2.60279661385844e-25,4.498394,8.638973,4.140579,0.879
"3552","PAX6","hurdle",5.00356870000407e-24,3.764345,8.238728,4.474383,0.878
"1490","FAM107A","hurdle",3.79717520817643e-22,6.673712,9.452348,2.778636,0.878
"3321","NDRG2","hurdle",2.3001608637386e-23,4.391485,7.486958,3.095473,0.876
"2002","HES1","hurdle",4.76867697183486e-24,2.45212,5.366153,2.914033,0.876
"5106","TRPS1","hurdle",1.04820536295025e-21,5.409056,8.494385,3.085329,0.874
"1825","GLI3","hurdle",3.70916209790379e-32,0.6391387,7.3038102,6.6646715,0.874
"4112","RHOJ","hurdle",8.55692875037322e-27,2.861145,6.777801,3.916656,0.872
"3302","NBPF10","hurdle",2.80608323166746e-24,1.936009,5.397957,3.461948,0.872
"2430","LGI4","hurdle",8.46893033879064e-25,1.852483,5.137371,3.284888,0.872
"374","AXL","hurdle",4.7909601836834e-21,7.802764,10.609971,2.807207,0.872
"3938","PTN","hurdle",4.31694241345119e-20,7.008532,8.906512,1.89798,0.871
"2434","LIFR","hurdle",3.10886308317849e-21,6.532137,9.458016,2.925879,0.871
"2275","KCNJ10","hurdle",4.67021679746004e-23,5.356652,8.061672,2.70502,0.871
"1917","GRM3","hurdle",2.75947930393835e-22,5.809352,8.991485,3.182133,0.871
"4225","S1PR1","hurdle",1.57077438269048e-29,2.851318,7.719466,4.868148,0.87
"1031","CPT1A","hurdle",1.30372384436017e-23,2.430681,5.809099,3.378418,0.869
"3215","MT1X","hurdle",3.11334938571112e-23,2.890233,5.718759,2.828526,0.868
"4501","SLITRK2","hurdle",1.9511502614293e-18,7.18935,9.427455,2.238105,0.867
"2818","LRIG1","hurdle",4.10694717622947e-22,4.836246,8.778618,3.942372,0.867
"1073","CTNNA2","hurdle",1.20474181021124e-21,4.812038,7.650033,2.837995,0.866
"3612","PDGFRB","hurdle",1.85754336343805e-27,1.648868,6.033849,4.384981,0.865
"2240","ITM2C","hurdle",8.22845448914486e-20,5.691867,8.42106,2.729193,0.865
"1992","HEPACAM","hurdle",1.16740951505502e-26,2.880602,7.098915,4.218313,0.865
"2824","LRP4","hurdle",1.830253881439e-21,5.923433,8.03113,2.107697,0.863
"165","ALDH1L1","hurdle",1.36321360124339e-30,-1.816766,7.254069,9.070835,0.862
"4609","SNTA1","hurdle",7.75270708644666e-25,3.539117,7.309249,3.770132,0.86
