"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.endothelial","log2fold_change","Auc"
"1288","IFITM1","hurdle",2.86703159275068e-30,0.01892973,9.54477129,9.52584156,0.999
"132","APOLD1","hurdle",1.99603687042937e-24,2.089063,10.812819,8.723756,0.967
"201","B2M","hurdle",1.59168745874896e-11,8.664887,11.811294,3.146407,0.951
"513","CEBPD","hurdle",9.6026989650986e-16,2.335475,6.209453,3.873978,0.95
"1430","KLF4","hurdle",3.89407124385043e-13,6.452206,9.242817,2.790611,0.931
"1364","ITIH5","hurdle",5.73396558375323e-26,-2.038621,6.915282,8.953903,0.922
"1481","LGALS1","hurdle",6.87789145248543e-12,4.420937,7.441284,3.020347,0.917
"2967","TIMP3","hurdle",1.31297017916106e-10,7.634366,10.488593,2.854227,0.906
"2275","PTRF","hurdle",4.93761446055244e-17,1.496081,6.820179,5.324098,0.906
"1290","IFITM3","hurdle",2.11152264471713e-12,5.31367,9.050121,3.736451,0.905
"1905","NFKBIA","hurdle",1.60837528846044e-10,5.967264,8.864186,2.896922,0.903
"2885","TACC1","hurdle",1.76684443752871e-08,7.844792,10.554877,2.710085,0.894
"1828","MSX1","hurdle",4.72360055368435e-14,1.949447,6.864186,4.914739,0.894
"1379","JUND","hurdle",5.69005387996668e-08,5.228093,7.080551,1.852458,0.894
"142","ARHGAP29","hurdle",4.41385946614698e-12,4.13208,7.602142,3.470062,0.894
"2976","TM4SF1","hurdle",1.16298551578589e-18,0.4238572,9.1954952,8.771638,0.893
"848","EIF1","hurdle",1.50014510281263e-05,8.645822,10.253375,1.607553,0.892
"402","CALD1","hurdle",5.8051075975403e-10,5.663806,8.393605,2.729799,0.892
"1129","GNG11","hurdle",3.78363500947439e-17,1.052127,6.411087,5.35896,0.89
"3247","ZFP36","hurdle",7.18296593817679e-10,5.341596,8.413628,3.072032,0.888
"2791","SPARC","hurdle",2.47847785839967e-11,5.450807,9.552285,4.101478,0.887
"3173","VIM","hurdle",2.35714034314448e-11,5.389528,9.072803,3.683275,0.886
"1432","KLF6","hurdle",2.13502879161623e-09,6.354927,9.620403,3.265476,0.882
"1030","FN1","hurdle",2.12257348177916e-09,5.443694,9.365119,3.921425,0.881
"508","CDKN1A","hurdle",8.41565128358558e-12,3.245059,7.032321,3.787262,0.88
"3248","ZFP36L1","hurdle",1.06447028848149e-09,5.779825,7.856426,2.076601,0.874
"109","ANXA2","hurdle",3.33701096996668e-14,1.72905,6.951868,5.222818,0.874
"1953","NR4A1","hurdle",6.10004549258455e-09,5.423667,7.827501,2.403834,0.87
"2081","PEAR1","hurdle",5.08220770480528e-17,-1.718932,5.947199,7.666131,0.869
"1038","FOXC1","hurdle",3.14474342569121e-16,-1.631996,5.931919,7.563915,0.866
"69","AHNAK","hurdle",3.56910611215092e-09,4.540855,7.007308,2.466453,0.863
"652","CSDA","hurdle",5.52325447309436e-10,3.608586,6.482203,2.873617,0.858
"1186","H3F3C","hurdle",5.699533694054e-08,2.830118,4.72792,1.897802,0.856
"1716","MCL1","hurdle",1.14699260345783e-07,5.949315,8.079751,2.130436,0.854
"875","EMP1","hurdle",1.5676619840753e-10,4.734684,8.603626,3.868942,0.854
"1488","LHFP","hurdle",1.3291251025781e-08,4.877466,8.067972,3.190506,0.847
"173","ATF3","hurdle",1.10951121341961e-10,2.919898,7.653203,4.733305,0.846
"1426","KLF10","hurdle",2.45494890412985e-08,4.794759,8.091171,3.296412,0.844
"108","ANXA1","hurdle",1.01092105384172e-15,0.5294674,8.0022525,7.4727851,0.843
"2440","RPLP1","hurdle",5.93829341952478e-06,5.718904,7.320124,1.60122,0.84
"1678","MAFF","hurdle",1.47993400342031e-09,2.806966,5.837943,3.030977,0.84
"2465","RPS6","hurdle",1.95874719333167e-05,6.698161,8.460865,1.762704,0.835
"1035","FOSB","hurdle",7.24629476640806e-08,6.552067,9.216625,2.664558,0.831
"1764","MIR22HG","hurdle",1.47119424014032e-07,4.517038,7.11946,2.602422,0.829
"1021","FLJ44635","hurdle",6.50245469694429e-07,2.471261,3.498251,1.02699,0.829
"111","ANXA2P2","hurdle",1.55674231019184e-12,1.428921,6.562242,5.133321,0.829
"3163","VAMP5","hurdle",3.42826965034329e-11,1.299986,6.292782,4.992796,0.827
"235","BHLHE40","hurdle",3.39396440957629e-07,5.042991,7.429616,2.386625,0.827
"1753","MIDN","hurdle",1.8366114296048e-06,3.40265,4.852998,1.450348,0.824
"3112","UACA","hurdle",3.16675164827587e-09,4.670503,7.584211,2.913708,0.823
"882","EPAS1","hurdle",2.77153504502501e-10,3.062917,8.036174,4.973257,0.822
"3044","TPM1","hurdle",9.61635589768789e-08,4.863321,7.874674,3.011353,0.82
"269","C10orf116","hurdle",1.32858983630051e-08,2.834704,6.561479,3.726775,0.82
"896","ESAM","hurdle",3.34265756174972e-15,-2.640458,4.638074,7.278532,0.818
"3048","TPT1","hurdle",7.3227603782498e-05,7.130274,8.561097,1.430823,0.815
"1857","MYL6","hurdle",1.28975119127379e-05,6.837634,8.894363,2.056729,0.815
"3023","TNFAIP3","hurdle",6.49236437702451e-11,3.140902,8.811856,5.670954,0.814
"3320","ZNFX1-AS1","hurdle",2.31894495955911e-05,4.984177,6.714246,1.730069,0.813
"1328","INTS6","hurdle",1.45528763662063e-06,4.771228,7.210428,2.4392,0.812
"2583","SIK1","hurdle",5.62275213191977e-07,2.988042,6.525129,3.537087,0.811
"2193","PPP1R15A","hurdle",1.44490711733614e-06,4.573004,7.406418,2.833414,0.811
"721","DCN","hurdle",1.55200570239349e-07,6.418235,10.720886,4.302651,0.811
"2380","RND3","hurdle",1.34364617966158e-06,6.16223,9.191429,3.029199,0.808
"1337","IQGAP1","hurdle",6.3502468664095e-06,6.55907,8.076548,1.517478,0.808
"1289","IFITM2","hurdle",2.21450136271376e-09,2.657079,6.231701,3.574622,0.807
"733","DDX3Y","hurdle",9.36399122506204e-07,6.861988,8.61967,1.757682,0.804
"3238","ZC3HAV1","hurdle",1.10743275959289e-06,5.789306,8.675075,2.885769,0.803
"3017","TMSB10","hurdle",3.55785554836637e-06,5.18878,7.544578,2.355798,0.802
"2431","RPL37","hurdle",4.90993359332282e-06,3.719369,5.371559,1.65219,0.801
"3001","TMEM2","hurdle",3.40576957689772e-07,4.254931,7.486232,3.231301,0.8
"2415","RPL23P8","hurdle",9.62283546353148e-06,2.803851,4.32553,1.521679,0.8
"807","DUSP1","hurdle",2.8269925881553e-05,7.146504,9.544192,2.397688,0.798
"2515","SDPR","hurdle",3.32641587535149e-15,-2.335603,8.880961,11.216564,0.797
"2698","SNHG5","hurdle",7.88275443829205e-06,4.465974,6.675251,2.209277,0.796
"2538","SERF2","hurdle",9.87225032901632e-05,5.626494,7.533719,1.907225,0.796
"1273","ID3","hurdle",1.92164900866882e-09,-0.3050147,4.5668152,4.8718299,0.796
"1954","NR4A2","hurdle",4.46363804186476e-06,5.759065,7.972118,2.213053,0.795
"174","ATF4","hurdle",1.60837965085828e-06,5.80682,8.16541,2.35859,0.795
"3260","ZMYM6NB","hurdle",1.54718665787621e-07,3.692671,6.22593,2.533259,0.793
"1908","NFKBIZ","hurdle",2.66557810869929e-06,5.588304,7.900867,2.312563,0.793
"3218","XAF1","hurdle",1.20220674850768e-06,4.483359,7.503826,3.020467,0.792
"1429","KLF2","hurdle",1.33592654009517e-12,-2.606905,3.314697,5.921602,0.792
"3161","UTRN","hurdle",2.86385958995068e-06,5.270881,7.658569,2.387688,0.791
"1365","ITM2A","hurdle",9.26952031323091e-08,6.183134,9.667023,3.483889,0.79
"1190","HBEGF","hurdle",9.83052485309029e-07,4.147215,7.314243,3.167028,0.789
"830","EEF1A1","hurdle",0.000862667530440944,6.758387,7.711839,0.953452,0.789
"2776","SOD2","hurdle",1.0573508994868e-07,4.851301,8.018478,3.167177,0.788
"1999","OMD","hurdle",1.70799592324291e-09,2.557019,6.673132,4.116113,0.788
"1512","LMNA","hurdle",8.86103110049027e-07,2.663968,4.862947,2.198979,0.787
"1","A2M","hurdle",5.74450362946235e-07,6.692961,9.45152,2.758559,0.787
"2426","RPL34","hurdle",0.000145019833869494,4.785906,5.966938,1.181032,0.786
"1414","KIAA1462","hurdle",4.94554639154322e-09,2.197486,6.716991,4.519505,0.786
"1146","GPR116","hurdle",1.81505796282635e-11,0.8555385,7.6319046,6.7763661,0.786
"186","ATP1B3","hurdle",6.20134271298843e-06,5.302126,8.689124,3.386998,0.786
"1173","GSTP1","hurdle",7.63910471890711e-05,5.789011,7.686851,1.89784,0.782
"865","ELL2","hurdle",5.57505306286226e-05,7.210244,9.034249,1.824005,0.782
"732","DDX3X","hurdle",0.00211826429688777,8.531595,9.809848,1.278253,0.782
"2850","STOM","hurdle",3.94274664301944e-05,7.537065,9.952232,2.415167,0.781
"1184","H2AFZ","hurdle",0.00079461863334424,6.997978,8.939579,1.941601,0.78
"2876","SYNE2","hurdle",1.17755117717811e-07,3.900525,7.539547,3.639022,0.779
"2399","RPL11","hurdle",4.38193144671957e-05,5.124843,7.101188,1.976345,0.779
"1434","KLF9","hurdle",3.53339674569599e-05,6.689273,9.223036,2.533763,0.779
"757","DLC1","hurdle",8.01421534580689e-05,6.780147,8.554013,1.773866,0.779
"2543","SERPINE1","hurdle",4.28621751024726e-07,4.721331,6.948951,2.22762,0.775
"1131","GNG5","hurdle",2.20023148020832e-05,3.761325,5.569856,1.808531,0.775
"1044","FOXP1","hurdle",0.000125464082790671,6.706004,8.732846,2.026842,0.775
"671","CTGF","hurdle",2.32557404846984e-07,3.734582,7.914684,4.180102,0.775
"31","ADAMTS1","hurdle",1.07473572533116e-05,5.067876,7.956231,2.888355,0.774
"2952","TGM2","hurdle",1.79462529025265e-13,-3.167206,6.528259,9.695465,0.773
"234","BGN","hurdle",8.6820888236332e-10,1.106235,7.15583,6.049595,0.772
"1377","JUN","hurdle",8.15098459469422e-05,5.317225,6.707359,1.390134,0.771
"2909","TBX3","hurdle",2.6497549599773e-12,-2.335603,5.689299,8.024902,0.77
"1293","IFRD1","hurdle",0.00025892589982796,6.729281,8.392961,1.66368,0.77
"704","CYR61","hurdle",7.24787310682285e-07,3.381388,7.127221,3.745833,0.77
"2939","TFPI","hurdle",9.95948608077789e-12,-2.308382,6.911092,9.219474,0.769
"2467","RPS8","hurdle",0.000179387065453772,5.325123,6.556889,1.231766,0.769
"3077","TSC22D2","hurdle",0.000140767922481382,6.412686,8.094606,1.68192,0.768
"1354","ITGA1","hurdle",3.93677824511292e-12,-2.016426,7.416164,9.43259,0.768
"1316","IL6","hurdle",2.94416741836622e-11,0.1909428,8.1410853,7.9501425,0.768
"2451","RPS19","hurdle",0.000912632174905648,5.933368,7.122051,1.188683,0.767
"1280","IFI27","hurdle",2.6793147362374e-12,0.7166804,8.3968188,7.6801384,0.766
"2787","SP100","hurdle",5.5635510735293e-07,3.816851,7.434211,3.61736,0.765
"259","BTG1","hurdle",0.000105132136916987,6.133515,7.200163,1.066648,0.765
"2450","RPS16","hurdle",0.00037415500081661,4.703682,6.409391,1.705709,0.764
"3249","ZFP36L2","hurdle",0.000183720191790073,6.791642,8.470049,1.678407,0.763
"3035","TNS1","hurdle",4.40631799723437e-06,3.679985,6.978996,3.299011,0.763
"2452","RPS20","hurdle",0.000269657367816041,5.367147,6.695576,1.328429,0.763
"3046","TPM4","hurdle",7.83294164760692e-06,4.44738,6.866042,2.418662,0.762
"2459","RPS29","hurdle",0.00012558745420511,3.524035,4.432959,0.908924,0.762
"1230","HLA-A","hurdle",4.54492863334439e-05,2.782646,3.963474,1.180828,0.762
"644","CRISPLD2","hurdle",2.87123027803485e-08,4.081205,9.51944,5.438235,0.762
"2429","RPL36","hurdle",0.000367081329270076,4.874686,6.127221,1.252535,0.761
"1270","ICAM1","hurdle",2.45328606952158e-11,1.123829,7.914983,6.791154,0.761
"1205","HES1","hurdle",7.8708212666599e-05,3.467575,5.402586,1.935011,0.761
"2969","TIPARP","hurdle",0.000145002327951512,6.704752,7.541871,0.837119,0.76
"2445","RPS11","hurdle",0.000975446358493617,6.282503,7.281698,0.999194999999999,0.76
"2342","RBMS3","hurdle",0.000255622841687141,6.830381,8.627899,1.797518,0.76
"639","CREM","hurdle",5.14603931474986e-05,4.652216,7.734371,3.082155,0.759
"1587","LOC284454","hurdle",5.37999666483286e-07,4.692987,7.454094,2.761107,0.758
"876","EMP2","hurdle",9.39292813160217e-07,3.958405,6.933691,2.975286,0.757
"3027","TNFRSF10D","hurdle",1.90323946971449e-08,1.496081,6.422065,4.925984,0.756
"2477","RSU1","hurdle",2.99425644056682e-06,4.32152,6.586465,2.264945,0.756
"2194","PPP1R15B","hurdle",0.000219960520640471,6.912076,8.691569,1.779493,0.756
"2428","RPL35A","hurdle",0.000781089011109356,5.511976,6.776104,1.264128,0.755
"2423","RPL30","hurdle",0.000688018281158204,5.929443,7.217231,1.287788,0.755
"1824","MSN","hurdle",1.16139261888579e-06,4.477017,7.526695,3.049678,0.755
"1058","FTL","hurdle",0.00303863431356233,9.074217,9.954342,0.880125,0.755
"255","BST2","hurdle",1.82231867860243e-08,0.6137096,6.1809037,5.5671941,0.755
"3216","WWTR1","hurdle",1.10568596961658e-08,3.253647,6.997179,3.743532,0.752
"2872","SVIL","hurdle",0.000106755184164403,3.577001,6.21529,2.638289,0.752
"2281","PXDC1","hurdle",1.91703833539499e-06,2.051471,5.899659,3.848188,0.752
"2914","TCF7L1","hurdle",1.5810175147124e-06,2.139358,5.925999,3.786641,0.751
"1401","KDM6B","hurdle",6.36714519550264e-05,0.5885874,2.6892992,2.1007118,0.751
"726","DDIT3","hurdle",9.36434453057543e-05,6.501349,8.552093,2.050744,0.751
"211","BAG3","hurdle",0.000147280223323984,5.636159,7.669594,2.033435,0.751
"2485","S100A10","hurdle",4.9728151080095e-08,1.293337,5.584963,4.291626,0.75
"2453","RPS21","hurdle",0.000238977851028995,3.620586,4.778734,1.158148,0.75
"2400","RPL12","hurdle",0.000277730502402238,2.693724,4.336283,1.642559,0.75
"2165","PODXL","hurdle",7.552245711917e-08,2.53746,7.472082,4.934622,0.748
"1897","NET1","hurdle",1.71778437467525e-07,3.46659,8.222312,4.755722,0.748
"1868","MYOF","hurdle",2.88048715236994e-08,2.22453,6.868514,4.643984,0.748
"74","AKAP12","hurdle",0.000325009634824984,6.739914,9.232301,2.492387,0.748
"2205","PRDM1","hurdle",9.13621727732505e-06,4.643965,6.822093,2.178128,0.747
"1458","LAMC1","hurdle",1.74687270939627e-05,2.788174,6.209453,3.421279,0.747
"1076","GADD45B","hurdle",5.39988248098526e-05,4.598621,5.330917,0.732296000000001,0.746
"828","EDN3","hurdle",3.48827213304047e-11,-1.869939,5.941341,7.81128,0.745
"640","CRIM1","hurdle",0.000246253949060043,6.528023,8.387802,1.859779,0.745
"3076","TSC22D1","hurdle",0.00940858643024475,8.703819,9.860854,1.157035,0.744
"2263","PTMA","hurdle",0.0037276873602883,7.207116,7.943687,0.736571,0.744
"2977","TM4SF18","hurdle",1.06716482818442e-10,-2.900101,7.485024,10.385125,0.743
"2175","POMP","hurdle",0.000194160852237894,6.472212,8.021258,1.549046,0.743
"1858","MYL9","hurdle",1.39410710024335e-10,-2.860024,5.402586,8.26261,0.743
"1284","IFI44L","hurdle",2.99450523751094e-08,4.691092,8.448529,3.757437,0.743
"842","EGR1","hurdle",0.0019150080654863,9.892474,11.115011,1.222537,0.743
"113","ANXA3","hurdle",3.22977158034088e-10,-0.8355294,7.1628948,7.9984242,0.743
"3078","TSC22D3","hurdle",0.000236495127143598,6.374482,8.373083,1.998601,0.742
"2412","RPL23","hurdle",0.00195439219506613,6.083896,7.35931,1.275414,0.742
"1339","IRF1","hurdle",6.65791499206613e-05,3.453729,5.794416,2.340687,0.742
"661","CSRNP1","hurdle",5.7438839129377e-05,3.362457,6.668885,3.306428,0.742
"533","CFH","hurdle",2.58377711748035e-12,-2.709999,8.784798,11.494797,0.742
"182","ATP10A","hurdle",8.76000524310785e-10,-0.07543396,6.04657837,6.12201233,0.742
"239","BIRC3","hurdle",2.64147124905586e-07,2.679347,6.475733,3.796386,0.739
"7","ABCG2","hurdle",2.13446933644783e-10,-0.4536588,9.633086,10.0867448,0.739
"6","ABCB1","hurdle",1.58312840705607e-06,2.825517,7.386725,4.561208,0.739
"862","EIF5","hurdle",0.0026821007910671,8.123389,8.838101,0.714712,0.738
"1936","NOSTRIN","hurdle",3.94778093114836e-10,-0.7234191,6.4203813,7.1438004,0.737
"1482","LGALS3","hurdle",9.69250090918954e-05,4.053603,5.809929,1.756326,0.737
"3118","UBB","hurdle",0.00701329123714543,9.117898,10.011856,0.893958,0.735
"2491","S100A6","hurdle",8.53863456504148e-05,4.246638,6.684398,2.43776,0.735
"2418","RPL27","hurdle",0.00149529792019095,5.531764,6.758223,1.226459,0.735
"546","CHMP1B","hurdle",0.000664371864743552,6.497498,8.362601,1.865103,0.735
"2486","S100A11","hurdle",4.73707192188603e-06,3.183472,5.791814,2.608342,0.733
"594","COBLL1","hurdle",5.65582451791598e-07,3.223073,7.715962,4.492889,0.733
