"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.microglia","log2fold_change","Auc"
"891","ITGAX","hurdle",5.37764448028272e-18,2.31537,9.43835,7.12298,0.956
"240","C3","hurdle",9.68106044195842e-18,2.91146,9.937245,7.025785,0.955
"955","LAPTM5","hurdle",3.63524447005555e-16,3.616744,8.479174,4.86243,0.95
"328","CD74","hurdle",6.27705541733505e-16,4.566951,10.917307,6.350356,0.949
"739","GPR183","hurdle",7.99307066509216e-15,4.764174,10.251009,5.486835,0.946
"1358","OLR1","hurdle",3.59648061193941e-17,4.193244,10.659416,6.466172,0.928
"323","CD53","hurdle",2.49126658901804e-17,2.939695,8.984881,6.045186,0.927
"141","B4GALT1","hurdle",1.56929919963338e-10,4.432339,7.371559,2.93922,0.925
"65","ALOX5AP","hurdle",1.33867045077644e-15,2.592007,8.636534,6.044527,0.924
"294","CCL3","hurdle",6.79078015730015e-17,3.785702,10.550542,6.76484,0.923
"1451","PLEK","hurdle",1.14598642578187e-15,3.936581,9.849268,5.912687,0.922
"1531","PTPRC","hurdle",5.11519389324436e-15,2.652113,8.823288,6.171175,0.921
"959","LCP1","hurdle",1.12691596493121e-14,1.688259,8.799403,7.111144,0.921
"296","CCL4","hurdle",8.77224064059728e-19,3.858499,10.267489,6.40899,0.92
"452","CYBB","hurdle",1.43828053754497e-13,3.333094,8.284998,4.951904,0.913
"1870","SRGN","hurdle",1.04199935629487e-12,5.238426,10.125543,4.887117,0.912
"775","HCLS1","hurdle",1.0745434623684e-13,1.550406,6.31696,4.766554,0.912
"27","ADAM28","hurdle",3.51516439326179e-13,4.600057,8.146441,3.546384,0.912
"917","KCTD12","hurdle",1.4692365379363e-09,5.239278,8.476898,3.23762,0.91
"1860","SPP1","hurdle",6.82404351241407e-09,8.502568,12.041137,3.538569,0.904
"35","ADORA3","hurdle",1.56620306035042e-11,3.620674,7.427103,3.806429,0.9
"228","C1QA","hurdle",5.18752761428847e-16,-2.430494,6.330469,8.760963,0.899
"861","IL1B","hurdle",1.8236432254364e-16,3.240229,9.593228,6.352999,0.895
"1597","RGS10","hurdle",1.35504801820774e-14,-0.1004937,6.8998101,7.0003038,0.894
"241","C3AR1","hurdle",9.25717610823521e-15,2.473406,9.577382,7.103976,0.894
"329","CD83","hurdle",1.02023989103044e-10,5.500634,10.165347,4.664713,0.892
"1","A2M","hurdle",3.67948431919069e-11,6.32861,10.27326,3.94465,0.892
"2060","TYROBP","hurdle",9.37158841541806e-14,-0.3926862,5.4441867,5.8368729,0.891
"1923","TBXAS1","hurdle",5.23602164050742e-14,0.08790445,6.15810472,6.07020027,0.891
"376","CLEC7A","hurdle",9.92279150355704e-14,4.033759,8.931772,4.898013,0.89
"1251","MSR1","hurdle",1.30553085042907e-14,3.74708,9.949152,6.202072,0.889
"1349","OBFC2A","hurdle",4.37845591251938e-10,5.640301,9.934115,4.293814,0.888
"331","CD86","hurdle",1.59433647068624e-13,3.463764,7.776269,4.312505,0.888
"770","HAVCR2","hurdle",3.52266909587975e-13,2.66062,8.816704,6.156084,0.887
"1596","RGS1","hurdle",1.69325568475469e-12,6.417815,10.265512,3.847697,0.884
"1247","MS4A7","hurdle",8.13867830696249e-12,4.272251,8.126575,3.854324,0.882
"433","CTSS","hurdle",4.47438933561754e-10,2.937596,6.210184,3.272588,0.881
"740","GPR34","hurdle",1.77041056697761e-11,3.420341,9.295712,5.875371,0.88
"1844","SOCS6","hurdle",1.43254870390335e-08,4.355562,8.845608,4.490046,0.877
"1736","SGK1","hurdle",1.618247988807e-07,7.543446,10.54946,3.006014,0.875
"1692","S100A11","hurdle",1.46217413281676e-10,2.53485,6.934133,4.399283,0.874
"248","C5AR1","hurdle",1.8662025685266e-11,0.5428794,5.4503865,4.9075071,0.873
"2163","ZFP36L2","hurdle",1.06297838209223e-07,6.535458,9.489045,2.953587,0.869
"1100","LPCAT2","hurdle",7.57779141384934e-11,3.127535,8.065618,4.938083,0.868
"499","DHRS9","hurdle",1.5199421526694e-15,1.575816,9.304294,7.728478,0.867
"230","C1QC","hurdle",1.85038906649218e-13,-0.5884528,5.3165078,5.9049606,0.864
"1879","ST6GAL1","hurdle",3.9141841015732e-10,4.461113,8.764374,4.303261,0.862
"229","C1QB","hurdle",1.53996241668722e-12,0.8169765,7.81322,6.9962435,0.862
"139","B3GNT5","hurdle",1.37788229648349e-12,5.057805,9.550819,4.493014,0.862
"637","FCER1G","hurdle",1.97715312705992e-12,1.473309,7.196971,5.723662,0.861
"156","BCL2A1","hurdle",2.07961527412023e-12,2.048646,8.414051,6.365405,0.861
"593","ETS2","hurdle",1.32849980885114e-09,3.848481,8.238285,4.389804,0.857
"138","B2M","hurdle",2.45617114363608e-05,9.105469,10.931966,1.826497,0.855
"83","APBB1IP","hurdle",3.16298674429505e-11,1.123048,6.109308,4.98626,0.855
"1099","LPAR6","hurdle",9.97825264888735e-09,3.699986,7.810813,4.110827,0.854
"356","CH25H","hurdle",6.75854747650549e-11,3.967079,8.691002,4.723923,0.853
"103","ARHGDIB","hurdle",4.1467190095057e-11,2.281574,7.872521,5.590947,0.853
"417","CSF1R","hurdle",2.90945500101202e-11,2.194035,8.277462,6.083427,0.852
"1377","P2RY12","hurdle",7.81999808984536e-11,4.261665,8.881229,4.619564,0.85
"321","CD4","hurdle",2.95764571613899e-10,2.022483,6.657854,4.635371,0.85
"1726","SERPINB9","hurdle",1.23123639228789e-06,6.591923,9.614434,3.022511,0.843
"643","FCGR3A","hurdle",2.96328905582411e-14,-2.119595,5.780704,7.900299,0.838
"419","CSF3R","hurdle",1.96404196232358e-13,-2.346267,6.29875,8.645017,0.838
"2152","ZCCHC6","hurdle",2.0890299891363e-06,5.223288,8.757515,3.534227,0.837
"975","LILRB4","hurdle",3.13457664653432e-14,-1.518409,6.538771,8.05718,0.836
"860","IL1A","hurdle",3.13553920321532e-13,1.110684,8.728048,7.617364,0.836
"680","FPR1","hurdle",5.32187089748702e-12,0.1326196,6.8126587,6.6800391,0.834
"877","IPCEF1","hurdle",2.43292794490693e-07,4.404246,6.904334,2.500088,0.833
"857","IL13RA1","hurdle",1.72542238823656e-08,3.993247,7.400666,3.407419,0.832
"1708","SCIN","hurdle",3.67366516883274e-12,2.120707,7.848075,5.727368,0.831
"852","IGSF6","hurdle",1.84819158112098e-11,0.4477807,6.9148336,6.4670529,0.831
"1720","SELPLG","hurdle",1.41276463183627e-11,-1.317911,5.380678,6.698589,0.83
"862","IL1RAP","hurdle",8.57004717657596e-07,4.739692,8.013881,3.274189,0.83
"794","HLA-B","hurdle",2.51153114652146e-07,1.416177,5.012904,3.596727,0.829
"1699","SAMSN1","hurdle",5.55946366113911e-11,2.053822,8.099874,6.046052,0.828
"1802","SLCO2B1","hurdle",6.53266052812827e-08,2.367226,6.478365,4.111139,0.827
"551","EGR2","hurdle",7.13894553551712e-07,5.086816,9.402692,4.315876,0.827
"1779","SLC2A5","hurdle",4.93014936288137e-10,1.676563,7.110875,5.434312,0.826
"1383","PABPC3","hurdle",1.00157554420744e-05,3.184687,5.156336,1.971649,0.822
"871","IL8","hurdle",2.10819272228207e-07,7.053745,10.009006,2.955261,0.821
"1850","SP100","hurdle",2.79264983016765e-07,4.407029,6.537801,2.130772,0.82
"1250","MSN","hurdle",2.95807660539007e-06,4.888703,6.662312,1.773609,0.82
"841","IFI30","hurdle",3.86630423196639e-09,1.611357,7.103681,5.492324,0.819
"880","IRAK2","hurdle",4.29106762985757e-10,2.044752,7.749702,5.70495,0.817
