"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.neurons","log2fold_change","Auc"
"4478","MEG3","hurdle",1.49877527125425e-59,6.22449,10.3303,4.10581,0.958
"4901","MYT1L","hurdle",7.19010154488057e-62,4.2966,8.755298,4.458698,0.957
"7177","STMN2","hurdle",3.47657482273672e-57,3.99613,8.797516,4.801386,0.951
"6490","SCN2A","hurdle",5.58202294004106e-57,5.393521,9.429752,4.036231,0.951
"7479","TMEM130","hurdle",2.58698527455558e-54,2.429138,7.312197,4.883059,0.945
"6754","SLC4A10","hurdle",2.62191741971544e-57,4.11335,8.291042,4.177692,0.941
"6836","SNAP25","hurdle",3.34738414574919e-50,6.57157,10.59863,4.02706,0.94
"2647","GABRB2","hurdle",2.58759083675051e-51,4.175328,8.851155,4.675827,0.938
"2641","GABBR2","hurdle",8.53838829622239e-53,3.93129,8.400818,4.469528,0.938
"1370","CELF4","hurdle",9.13385418170098e-51,3.535245,6.997425,3.46218,0.938
"7416","THY1","hurdle",8.08377020572489e-52,1.554669,7.872627,6.317958,0.935
"7256","SYT1","hurdle",1.25679310808143e-50,6.620948,10.493933,3.872985,0.933
"6395","RTN1","hurdle",1.43108407237315e-48,6.224741,9.761882,3.537141,0.933
"2651","GABRG2","hurdle",1.30519829380585e-48,4.702744,8.505315,3.802571,0.933
"2630","FXYD6","hurdle",1.31254906194267e-48,4.821472,9.034896,4.213424,0.933
"7198","STXBP1","hurdle",2.0295383886185e-48,5.064802,8.67709,3.612288,0.93
"7873","UCHL1","hurdle",1.50062238745416e-48,5.145095,8.696147,3.551052,0.926
"7229","SV2A","hurdle",1.55627315017266e-46,3.627577,7.236661,3.609084,0.925
"7290","TAGLN3","hurdle",7.69022942817342e-45,3.113025,7.77635,4.663325,0.924
"7105","SRRM4","hurdle",1.19875930530234e-47,2.259517,6.563361,4.303844,0.922
"3097","HMP19","hurdle",1.96713515870586e-44,3.611571,7.128898,3.517327,0.918
"5460","PCLO","hurdle",8.04132220828881e-47,5.532981,8.753258,3.220277,0.917
"2642","GABRA1","hurdle",6.19761954709687e-46,5.404843,9.579389,4.174546,0.917
"5716","PNMA2","hurdle",6.79181726329036e-45,5.546474,9.096908,3.550434,0.916
"7999","VSNL1","hurdle",1.4909115747133e-45,5.37174,9.612307,4.240567,0.915
"6221","RIMS2","hurdle",1.7332270362214e-43,4.417699,7.866599,3.4489,0.913
"6477","SCG2","hurdle",2.66302665333969e-42,6.147291,9.809272,3.661981,0.907
"5176","NRXN3","hurdle",4.97887284284698e-40,4.807489,8.112951,3.305462,0.905
"6478","SCG5","hurdle",1.89961201043713e-39,6.145042,8.83757,2.692528,0.904
"651","BEX1","hurdle",7.45888592180278e-40,5.568158,8.50586,2.937702,0.904
"421","ARL4C","hurdle",3.78822861009104e-40,4.481155,7.848317,3.367162,0.903
"7253","SYNPR","hurdle",3.92461344992682e-44,4.081056,9.479535,5.398479,0.902
"6570","SEZ6L2","hurdle",2.43962974022591e-40,2.267322,5.429616,3.162294,0.902
"2492","FGF12","hurdle",3.96358929491542e-43,6.795715,10.28603,3.490315,0.898
"1959","DNM1","hurdle",1.82121660104719e-41,2.411638,6.513604,4.101966,0.898
"652","BEX2","hurdle",2.07367886300009e-38,5.058069,7.971767,2.913698,0.897
