"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.oligodendrocytes","log2fold_change","Auc"
"2225","PLP1","hurdle",5.07736456967573e-36,8.641294,14.448403,5.807109,0.991
"933","ENPP2","hurdle",8.11058883261798e-36,5.349366,10.463922,5.114556,0.984
"3012","TMEM144","hurdle",3.85245680189789e-34,6.539014,11.826776,5.287762,0.983
"948","ERMN","hurdle",2.82949931668649e-38,4.938987,11.209129,6.270142,0.976
"3195","UGT8","hurdle",2.65049104493825e-34,3.289858,9.14337,5.853512,0.972
"2954","TF","hurdle",2.03651483082921e-37,5.409693,11.072658,5.662965,0.971
"622","CLDN11","hurdle",6.39625046647904e-34,4.296502,10.313295,6.016793,0.968
"2855","ST18","hurdle",1.20999168910956e-32,2.943189,8.182499,5.23931,0.967
"975","FAM107B","hurdle",5.88697843554152e-33,4.004265,9.469203,5.464938,0.966
"625","CLDND1","hurdle",2.90131458316419e-26,7.696157,12.08367,4.387513,0.965
"2199","PIP4K2A","hurdle",6.43015923416431e-24,8.207196,12.649491,4.442295,0.964
"646","CNP","hurdle",3.1296642783057e-26,7.336735,12.151416,4.814681,0.963
"123","ANLN","hurdle",7.49550495116302e-31,4.019832,9.130218,5.110386,0.962
"2079","OPALIN","hurdle",9.17376323649862e-33,5.016461,10.203857,5.187396,0.958
"2675","SLAIN1","hurdle",1.5178611225937e-27,5.487524,10.099825,4.612301,0.955
"2483","RNASE1","hurdle",4.28748779927651e-29,4.754606,9.364987,4.610381,0.955
"2577","SCD","hurdle",1.02342919949457e-22,7.411406,11.176564,3.765158,0.953
"250","BCAS1","hurdle",3.98309647089481e-28,4.161365,8.410262,4.248897,0.953
"955","EVI2A","hurdle",1.97319869460553e-26,5.640781,10.011551,4.37077,0.951
"2368","QDPR","hurdle",1.27612243700139e-23,5.783344,10.102625,4.319281,0.949
"1212","GPR37","hurdle",1.47337600711509e-27,4.265557,8.142752,3.877195,0.949
"1867","MOBP","hurdle",6.80772845209593e-30,3.458741,8.644786,5.186045,0.948
"640","CNDP1","hurdle",6.13712087933873e-33,4.061007,10.013279,5.952272,0.946
"1765","MBP","hurdle",9.69048792930957e-25,7.186528,11.759536,4.573008,0.939
"2678","SLC12A2","hurdle",6.65579704613577e-21,7.00026,10.59002,3.58976,0.937
"318","C11orf9","hurdle",3.20638286533052e-28,2.028483,8.103674,6.075191,0.936
"527","CD9","hurdle",6.7198409071972e-24,5.033325,8.853539,3.820214,0.93
"148","APOD","hurdle",2.31011998047927e-22,7.161002,9.45223,2.291228,0.93
"2801","SOX2-OT","hurdle",1.1355743655877e-18,6.581533,9.878487,3.296954,0.929
"460","CAPN3","hurdle",3.9113892020747e-25,4.648684,8.88552,4.236836,0.929
"1491","KLK6","hurdle",1.56663412496769e-33,0.5779364,8.3318363,7.7538999,0.926
"658","COL4A5","hurdle",5.68771937363421e-24,3.430307,7.665111,4.234804,0.926
"3145","TTLL7","hurdle",2.86163543347264e-19,6.331222,9.560725,3.229503,0.925
"5","ABCA8","hurdle",8.3541112927729e-28,2.437172,7.818464,5.381292,0.924
"841","DOCK5","hurdle",4.94444887938404e-25,4.766887,9.466951,4.700064,0.923
"696","CREB5","hurdle",9.36238542039357e-22,5.961123,9.109336,3.148213,0.922
"1276","HHIP","hurdle",1.14603871623998e-23,3.053534,7.799333,4.745799,0.919
"462","CARNS1","hurdle",5.46621592763205e-28,1.412919,7.122978,5.710059,0.917
"1727","MAG","hurdle",2.58662629849112e-31,-2.566392,6.91503,9.481422,0.916
"704","CRYAB","hurdle",3.29654221197769e-18,7.47234,10.65334,3.181,0.915
"42","ADAMTS4","hurdle",4.55334342826481e-23,6.389234,7.446387,1.057153,0.912
"2218","PLEKHH1","hurdle",3.04417183729409e-21,4.804578,8.362728,3.55815,0.911
"944","ERBB3","hurdle",1.0616257516701e-22,3.414508,8.126677,4.712169,0.911
"2825","SPP1","hurdle",2.10532511821026e-20,8.592831,10.839428,2.246597,0.909
"2223","PLLP","hurdle",1.750130732992e-23,3.167782,7.591237,4.423455,0.909
"3104","TRIM59","hurdle",7.76628133383442e-29,3.721714,9.245915,5.524201,0.905
"1112","FRMD4B","hurdle",1.65572733714199e-22,3.50732,8.627131,5.119811,0.905
"757","DBNDD2","hurdle",8.61958082911034e-24,2.107864,7.715836,5.607972,0.905
"631","CLMN","hurdle",1.7729322885586e-21,4.198424,8.509129,4.310705,0.904
"2419","RASSF2","hurdle",4.71187850708622e-19,5.435432,8.75917,3.323738,0.903
"2710","SLC44A1","hurdle",6.36742944834262e-20,4.750055,8.567035,3.81698,0.902
"2615","SEPT4","hurdle",1.30185654994002e-20,5.206403,9.570045,4.363642,0.902
"2722","SLCO1A2","hurdle",2.77039420978921e-24,4.321256,8.776502,4.455246,0.901
"2343","PTMA","hurdle",1.57917717353669e-14,6.785638,8.790803,2.005165,0.901
"1178","GLTP","hurdle",6.24543627858479e-18,5.581027,8.921825,3.340798,0.901
"2684","SLC24A2","hurdle",1.8703221994282e-16,7.441556,10.809066,3.36751,0.9
"2610","SEPP1","hurdle",1.35736621290729e-22,3.317072,7.704231,4.387159,0.897
"650","CNTN2","hurdle",3.42838571614405e-21,3.491827,8.515783,5.023956,0.896
"1695","LPAR1","hurdle",3.77789906046675e-24,2.853099,8.335249,5.48215,0.895
